id1,id2,matching_probability
100,482,1
1000,2753,1
1003,5920,1
1005,1654,1
1007,2790,1
101,210,1
1011,1236,1
1019,2396,1
1039,4344,1
1040,2145,1
1041,2753,1
1045,3209,1
1051,342,1
1053,3636,1
1081,2145,1
1115,1659,1
1117,1080,1
1136,1072,0.9
114,2631,1
1192,3752,1
1207,1080,1
1249,1895,1
1271,1072,1
1282,3752,1
1340,3040,1
1360,3529,1
1385,1835,1
1393,1027,1
1403,4701,1
1428,3040,1
1570,1469,1
1574,971,1
1585,3476,1
1625,3232,1
163,2631,1
1655,1489,1
1662,4479,1
1710,5243,1
1711,665,1
1738,5034,1
1764,3465,1
1799,665,1
1812,839,1
1849,1506,1
1876,535,1
1895,1506,1
1930,516,1
1941,1506,1
1946,4664,1
1965,5180,1
1968,535,1
1976,516,1
198,500,1
1981,2104,1
1988,4297,1
1992,4664,1
2032,2555,1
2037,3201,1
209,2622,1
2167,2555,1
2178,3343,1
2215,4523,1
2247,1917,1
2302,2763,1
2375,5495,1
2385,4692,1
2403,2775,1
2413,4506,1
2419,361,1
2445,369,1
2472,2952,1
2478,275,1
2523,275,1
2558,2767,1
2651,6061,0.9
2693,4521,1
2795,621,1
288,500,1
2885,621,1
2974,5437,1
3068,5437,1
3122,1211,1
3142,2919,1
3149,6291,1
3180,2229,1
3191,1137,1
3212,1211,1
3232,2919,1
3250,1700,1
387,1677,1
405,5591,1
481,1490,1
501,5591,1
644,4932,0.9
65,2631,1
698,899,1
745,899,1
934,4491,1
984,4078,1
