A_id,B_id,label
1965,5180,TRUE
2215,4523,TRUE
691,3999,FALSE
805,4017,FALSE
101,210,TRUE
1012,1219,FALSE
1012,4787,FALSE
102,2262,FALSE
1022,2959,FALSE
1012,1319,FALSE
1003,5920,TRUE
102,6252,FALSE
1,4231,FALSE
1018,3848,FALSE
1003,7079,FALSE
1021,286,FALSE
1020,7079,FALSE
1017,6055,FALSE
1004,5293,FALSE
1019,2396,TRUE
1014,1508,FALSE
1005,1654,TRUE
1011,1236,TRUE
1,418,FALSE
1596,2979,FALSE
113,5409,FALSE
1458,6466,FALSE
1470,2774,FALSE
1230,2843,FALSE
467,3892,FALSE
515,3892,FALSE
131,6674,FALSE
2631,4505,FALSE
1562,2774,FALSE
1508,6049,FALSE
2109,1440,FALSE
1550,2979,FALSE
518,5257,FALSE
693,1265,FALSE
115,6073,FALSE
740,1265,FALSE
2631,1587,FALSE
1275,2843,FALSE
2708,789,FALSE
1041,2753,TRUE
1038,5246,FALSE
1045,3209,TRUE
1008,302,FALSE
1685,3913,FALSE
1053,3636,TRUE
1007,2790,TRUE
1002,6393,FALSE
100,482,TRUE
1043,1530,FALSE
1051,342,TRUE
1041,797,FALSE
1022,2319,FALSE
2737,536,FALSE
1032,1225,FALSE
1000,2753,TRUE
1022,1385,FALSE
1833,602,FALSE
1729,3913,FALSE
1039,4344,TRUE
2445,369,TRUE
1625,3232,TRUE
3068,5437,TRUE
1403,4701,TRUE
3212,1211,TRUE
2974,5437,TRUE
1271,1072,TRUE
2693,4521,TRUE
3149,6291,TRUE
1876,535,TRUE
2558,2767,TRUE
3122,1211,TRUE
1136,1072,TRUE
1988,4297,TRUE
2178,3343,TRUE
1340,3040,TRUE
3191,1137,TRUE
1428,3040,TRUE
1968,535,TRUE
1360,3529,TRUE
2037,3201,TRUE
1192,3752,TRUE
1040,2145,TRUE
170,1079,FALSE
2032,2555,TRUE
114,2631,TRUE
2247,1917,TRUE
1081,2145,TRUE
644,4932,TRUE
956,5246,FALSE
1385,1835,TRUE
1812,839,TRUE
2167,2555,TRUE
198,500,TRUE
1662,4479,TRUE
1710,5243,TRUE
2375,5495,TRUE
209,2622,TRUE
1570,1469,TRUE
1282,3752,TRUE
405,5591,TRUE
1992,4664,TRUE
288,500,TRUE
2885,621,TRUE
2403,2775,TRUE
3250,1700,TRUE
2795,621,TRUE
1207,1080,TRUE
1799,665,TRUE
2651,6061,TRUE
2385,4692,TRUE
501,5591,TRUE
1117,1080,TRUE
1981,2104,TRUE
1711,665,TRUE
1249,1895,TRUE
481,1490,TRUE
1946,4664,TRUE
2472,2952,TRUE
1393,1027,TRUE
2419,361,TRUE
121,1079,FALSE
65,2631,TRUE
1574,971,TRUE
984,4078,TRUE
1895,1506,TRUE
163,2631,TRUE
1764,3465,TRUE
1976,516,TRUE
2413,4506,TRUE
3178,543,FALSE
3133,543,FALSE
1930,516,TRUE
1849,1506,TRUE
3180,2229,TRUE
1585,3476,TRUE
3142,2919,TRUE
1738,5034,TRUE
1941,1506,TRUE
2302,2763,TRUE
934,4491,TRUE
1013,2480,FALSE
2478,275,TRUE
1655,1489,TRUE
745,899,TRUE
2523,275,TRUE
1022,3754,FALSE
837,820,FALSE
1022,3755,FALSE
1115,1659,TRUE
698,899,TRUE
1009,3312,FALSE
885,820,FALSE
3232,2919,TRUE
1004,3530,FALSE
1004,2982,FALSE
1021,3647,FALSE
1004,1759,FALSE
387,1677,TRUE
1021,5289,FALSE
