_id,Unnamed: 0,Title,Date_of_Release,Rating,Description,Up_System
0,0,Dilwale Dulhania Le Jayenge,"October 20, 1995",90,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for",CM
1,1,The Shawshank Redemption,"September 23, 1994",87,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During",CM
2,2,The Godfather,"March 15, 1972",86,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son",CM
3,3,Your Name.,"April 7, 2017",86,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Takis body, and he in hers. This bizarre occurrence continues to happen",CM
4,4,Schindler's List,"December 15, 1993",85,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,CM
5,5,The Godfather: Part II,"December 20, 1974",85,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood",CM
6,6,Spirited Away,"September 20, 2002",85,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",CM
7,7,Spider-Man: Into the Spider-Verse,"December 14, 2018",85,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",CM
8,8,The Green Mile,"December 10, 1999",84,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey",CM
9,9,Life Is Beautiful,"October 22, 1998",84,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration,CM
10,10,Pulp Fiction,"October 14, 1994",84,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously",CM
11,11,A Dog's Will,"September 15, 2000",84,"The lively Joo Grilo and the sly Chic are poor guys living in the hinterland who cheat a bunch of people in a small Northeast Brazil town. But when they die, they have to be judged by Christ, the Devil and the",CM
12,12,The Dark Knight,"July 18, 2008",84,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership",CM
13,13,Fight Club,"October 15, 1999",84,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until",CM
14,14,Psycho,"September 8, 1960",84,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",CM
15,15,Forrest Gump,"July 6, 1994",84,"A man with a low IQ has accomplished great things in his life and been present during significant historic eventsin each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his",CM
16,16,Capernaum,"December 14, 2018",84,"Zain, a 12-year-old boy scrambling to survive on the streets of Beirut, sues his parents for having brought him into such an unjust world, where being a refugee with no documents means that your rights can easily",CM
17,17,The Lord of the Rings: The Return of the King,"December 17, 2003",84,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to",CM
18,18,12 Angry Men,"April 10, 1957",84,The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon,CM
19,19,Grave of the Fireflies,"April 16, 1988",84,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned",CM
20,20,GoodFellas,"September 19, 1990",84,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",CM
21,21,One Flew Over the Cuckoo's Nest,"November 18, 1975",84,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy, inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",CM
22,22,Once Upon a Time in America,"June 1, 1984",84,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",CM
23,23,Cinema Paradiso,"June 14, 2002",84,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",CM
24,24,Harakiri,"September 11, 1963",84,"Aging samurai Hanshiro Tsugumo arrives at the home of Kageyu Saito and asks to commit a ritual suicide on the property, which Saito thinks is a ploy to gain pity and a job. Saito tells Tsugumo of another samurai",CM
25,25,Whiplash,"October 10, 2014",84,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",CM
26,26,Neon Genesis Evangelion: The End of Evangelion,"July 19, 1997",84,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers",CM
27,27,"The Good, the Bad and the Ugly","December 29, 1967",84,"While the Civil War rages between the Union and the Confederacy, three men  a quiet loner, a ruthless hit man and a Mexican bandit  comb the American Southwest in search of a strongbox containing $200,000 in stolen",CM
28,28,The Great Dictator,"October 15, 1940",84,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,CM
29,29,City Lights,"March 7, 1931",84,City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl.,CM
30,30,Sherlock: The Final Problem,"January 15, 2017",84,Long buried secrets finally come to light as someone has been playing a very long game indeed. Sherlock and John face their greatest ever challenge. Is the game finally over?,CM
31,31,Seven Samurai,"November 19, 1956",84,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves",CM
32,32,Twin Peaks,"December 31, 1989",84,"Standalone version of the series pilot with an alternate, closed ending, produced for the European VHS market.",CM
33,33,City of God,"August 31, 2002",84,"Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiros most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life",CM
34,34,American History X,"October 30, 1998",84,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek",CM
35,35,Sunset Boulevard,"August 10, 1950",84,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,CM
36,36,Howl's Moving Castle,"June 10, 2005",83,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking",CM
37,37,Doctor Who: The Day of the Doctor,"November 23, 2013",83,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All",CM
38,38,The Empire Strikes Back,"May 21, 1980",83,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile",CM
39,39,Princess Mononoke,"October 29, 1999",83,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest",CM
40,40,Ikiru,"March 25, 1956",83,"Mr. Watanabe suddenly finds that he has terminal cancer. He vows to make his final days meaningful. His attempts to communicate his anguish to his son and daughter-in-law lead only to heartbreak. Finally, inspired",CM
41,41,Investigation of a Citizen Above Suspicion,"December 20, 1970",83,"A chief of detectives, homicide section, commits a murder and deliberately leaves clues to prove his own responsibility for the crime.",CM
42,42,The Wolf's Call,"February 20, 2019",83,Thriller set in the milieu of French nuclear submarines.,CM
43,43,The Handmaiden,"October 21, 2016",83,"1930s Korea, in the period of Japanese occupation, a young woman is hired as a handmaiden to a Japanese heiress who lives a secluded life on a large countryside estate with her domineering uncle. But, the maid has",CM
